ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
23.42857143,23,3,3,1.090614446,0.590134869,0.180635176,-2.326347874,336.3815768,-2.053748911,366.8371905,-1.880793608,386.0408695,-1.281551566,451.9387627,-0.67448975,517.8174881,0,590.1348691,0.67448975,661.6558082,1.281551566,725.4300148,1.644853627,763.3516358,1.880793608,787.8874758,2.053748911,805.8294161,2.326347874,834.0351501
23.45714286,23,3.2,3,1.089973021,0.593339368,0.180566416,-2.326347874,338.3504826,-2.053748911,368.9486264,-1.880793608,388.24315,-1.281551566,454.4578522,-0.67448975,520.6601326,0,593.3393675,0.67448975,665.2241165,1.281551566,729.3271173,1.644853627,767.4460309,1.880793608,792.1101869,2.053748911,810.1462768,2.326347874,838.5005452
23.48571429,23,3.4,3,1.089336461,0.596493172,0.180497592,-2.326347874,340.2916754,-2.053748911,371.0295866,-1.880793608,390.4132132,-1.281551566,456.9387503,-0.67448975,523.4586208,0,596.4931719,0.67448975,668.7352765,1.281551566,733.1613265,1.644853627,771.4741208,1.880793608,796.264387,2.053748911,814.3930146,2.326347874,842.8932845
23.51428571,23,3.6,3,1.088704422,0.599599662,0.180428702,-2.326347874,342.2070715,-2.053748911,373.0821623,-1.880793608,392.5532604,-1.281551566,459.384038,-0.67448975,526.2159139,0,599.5996621,0.67448975,672.1930829,1.281551566,736.9368074,1.644853627,775.4402915,1.880793608,800.354605,2.053748911,818.5742627,2.326347874,847.2181658
23.54285714,23,3.8,3,1.088076577,0.602662108,0.180359743,-2.326347874,344.0985274,-2.053748911,375.1083787,-1.880793608,394.6654233,-1.281551566,461.7962134,-0.67448975,528.9348775,0,602.6621081,0.67448975,675.6012071,1.281551566,740.6575899,1.644853627,779.3487859,1.880793608,804.3852222,2.053748911,822.6945035,2.326347874,851.4798305
23.57142857,23,4,3,1.08745261,0.605683638,0.180290711,-2.326347874,345.9678205,-2.053748911,377.110174,-1.880793608,396.7517421,-1.281551566,464.1776666,-0.67448975,531.6182529,0,605.6836379,0.67448975,678.9631601,1.281551566,744.3275276,1.644853627,783.203662,1.880793608,808.3604285,2.053748911,826.7580237,2.326347874,855.6827174
23.6,23,4.2,4,1.086832217,0.608667273,0.180221605,-2.326347874,347.8166697,-2.053748911,379.0894226,-1.880793608,398.8141889,-1.281551566,466.5307072,-0.67448975,534.2686883,0,608.6672727,0.67448975,682.2823333,1.281551566,747.9503431,1.644853627,787.0088392,1.880793608,812.2842712,2.053748911,830.768964,2.326347874,859.831114
23.62857143,23,4.4,4,1.086215107,0.611615897,0.180152422,-2.326347874,349.6467179,-2.053748911,381.0479151,-1.880793608,400.854648,-1.281551566,468.857541,-0.67448975,536.8887125,0,611.6158971,0.67448975,685.5619645,1.281551566,751.5295895,1.644853627,790.768059,1.880793608,816.1606135,2.053748911,834.7312767,2.326347874,863.9291131
23.65714286,23,4.6,4,1.085601,0.614532299,0.180083159,-2.326347874,351.4595546,-2.053748911,382.9873837,-1.880793608,402.8749416,-1.281551566,471.1603008,-0.67448975,539.4807696,0,614.5322988,0.67448975,688.8051824,1.281551566,755.0687008,1.644853627,794.484937,1.880793608,819.9931886,2.053748911,838.6487813,2.326347874,867.9806696
23.68571429,23,4.8,4,1.084989629,0.617419142,0.180013816,-2.326347874,353.2567002,-2.053748911,384.9094847,-1.880793608,404.876812,-1.281551566,473.4410247,-0.67448975,542.0471955,0,617.4191416,0.67448975,692.0149763,1.281551566,758.5709573,1.644853627,798.1629272,1.880793608,823.7855633,2.053748911,842.5251267,2.326347874,871.9895621
