ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
26.42857143,26,3,3,1.160114846,0.915358914,0.185969889,-2.326347874,501.9752382,-2.053748911,552.6662436,-1.880793608,584.4416009,-1.281551566,692.5239843,-0.67448975,799.3189676,0,915.3589142,0.67448975,1029.08287,1.281551566,1129.735415,1.644853627,1189.283429,1.880793608,1227.700108,2.053748911,1255.739256,2.326347874,1299.730739
26.45714286,26,3.2,3,1.158727731,0.91852642,0.186078284,-2.326347874,503.6186715,-2.053748911,554.4772847,-1.880793608,586.3610172,-1.281551566,694.8289132,-0.67448975,802.0270916,0,918.5264201,0.67448975,1032.719216,1.281551566,1133.800304,1.644853627,1193.607328,1.880793608,1232.193135,2.053748911,1260.356692,2.326347874,1304.54496
26.48571429,26,3.4,3,1.157340616,0.921689677,0.186185733,-2.326347874,505.2615992,-2.053748911,556.2871948,-1.880793608,588.2789371,-1.281551566,697.1312455,-0.67448975,804.7317305,0,921.689677,0.67448975,1036.35075,1.281551566,1137.86002,1.644853627,1197.925899,1.880793608,1236.680755,2.053748911,1264.968675,2.326347874,1309.353673
26.51428571,26,3.6,3,1.155953501,0.924849036,0.186292239,-2.326347874,506.9042264,-2.053748911,558.096198,-1.880793608,590.1955962,-1.281551566,699.4312553,-0.67448975,807.433196,0,924.8490364,0.67448975,1039.977861,1.281551566,1141.914988,1.644853627,1202.239587,1.880793608,1241.163427,2.053748911,1269.575673,2.326347874,1314.15736
26.54285714,26,3.8,3,1.154566387,0.928004847,0.186397805,-2.326347874,508.546757,-2.053748911,559.9045166,-1.880793608,592.1112283,-1.281551566,701.7292146,-0.67448975,810.1317967,0,928.0048468,0.67448975,1043.600936,1.281551566,1145.965628,1.644853627,1206.548834,1.880793608,1245.641606,2.053748911,1274.178151,2.326347874,1318.956501
26.57142857,26,4,3,1.153179272,0.931157453,0.186502435,-2.326347874,510.189393,-2.053748911,561.712371,-1.880793608,594.0260652,-1.281551566,704.0253929,-0.67448975,812.8278388,0,931.1574532,0.67448975,1047.220358,1.281551566,1150.012359,1.644853627,1210.854076,1.880793608,1250.115742,2.053748911,1278.776567,2.326347874,1323.75157
26.6,26,4.2,4,1.151792157,0.934307198,0.186606131,-2.326347874,511.8323349,-2.053748911,563.5199799,-1.880793608,595.9403368,-1.281551566,706.3200574,-0.67448975,815.5216254,0,934.3071978,0.67448975,1050.836508,1.281551566,1154.055594,1.644853627,1215.155748,1.880793608,1254.586281,2.053748911,1283.371377,2.326347874,1328.543037
26.62857143,26,4.4,4,1.150405042,0.937454419,0.186708896,-2.326347874,513.4757816,-2.053748911,565.3275602,-1.880793608,597.8542708,-1.281551566,708.6134728,-0.67448975,818.2134569,0,937.4544192,0.67448975,1054.449762,1.281551566,1158.095741,1.644853627,1219.454277,1.880793608,1259.053663,2.053748911,1287.963032,2.326347874,1333.331367
26.65714286,26,4.6,4,1.149017927,0.940599453,0.186810732,-2.326347874,515.1199305,-2.053748911,567.1353268,-1.880793608,599.7680934,-1.281551566,710.9059014,-0.67448975,820.903631,0,940.599453,0.67448975,1058.060491,1.281551566,1162.133207,1.644853627,1223.750089,1.880793608,1263.518328,2.053748911,1292.551979,2.326347874,1338.117023
26.68571429,26,4.8,4,1.147630812,0.943742632,0.186911643,-2.326347874,516.7649772,-2.053748911,568.9434931,-1.880793608,601.6820285,-1.281551566,713.1976032,-0.67448975,823.5924424,0,943.7426315,0.67448975,1061.669066,1.281551566,1166.168392,1.644853627,1228.043605,1.880793608,1267.980707,2.053748911,1297.138659,2.326347874,1342.900459
