ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
23.42857143,23,3,3,1.171489884,0.642618476,0.17134069,-2.326347874,375.5917547,-2.053748911,408.2642809,-1.880793608,428.7613989,-1.281551566,498.5499737,-0.67448975,567.575616,0,642.6184756,0.67448975,716.1839092,1.281551566,781.2991739,1.644853627,819.8221969,1.880793608,844.67408,2.053748911,862.8121621,2.326347874,891.2684414
23.45714286,23,3.2,3,1.170904974,0.64589062,0.171291387,-2.326347874,377.6251347,-2.053748911,410.4435017,-1.880793608,431.0331043,-1.281551566,501.141607,-0.67448975,570.4902906,0,645.8906195,0.67448975,719.8119279,1.281551566,785.246133,1.644853627,823.959426,1.880793608,848.9346396,2.053748911,867.1630122,2.326347874,895.7614025
23.48571429,23,3.4,3,1.170324807,0.649104221,0.171242187,-2.326347874,379.6249345,-2.053748911,412.5860871,-1.880793608,433.2662571,-1.281551566,503.6881609,-0.67448975,573.3534327,0,649.1042206,0.67448975,723.3745377,1.281551566,789.1216114,1.644853627,828.0215849,1.880793608,853.1178143,2.053748911,871.4347884,2.326347874,900.1726411
23.51428571,23,3.6,3,1.169749049,0.65226321,0.171193078,-2.326347874,381.5934563,-2.053748911,414.6945376,-1.880793608,435.4634826,-1.281551566,506.1926854,-0.67448975,576.1685143,0,652.2632103,0.67448975,726.8761215,1.281551566,792.9303925,1.644853627,832.013694,1.880793608,857.2287776,2.053748911,875.6327763,2.326347874,904.507618
23.54285714,23,3.8,3,1.169177379,0.65537138,0.171144047,-2.326347874,383.5329224,-2.053748911,416.7712661,-1.880793608,437.6273135,-1.281551566,508.6581227,-0.67448975,578.9388834,0,655.3713795,0.67448975,730.3209056,1.281551566,796.6770884,1.644853627,835.940594,1.880793608,861.272518,2.053748911,879.7620718,2.326347874,908.7715984
23.57142857,23,4,3,1.168609488,0.658432382,0.171095086,-2.326347874,385.4454761,-2.053748911,418.8185996,-1.880793608,439.7601923,-1.281551566,511.087309,-0.67448975,581.6677672,0,658.4323816,0.67448975,733.7129621,1.281551566,800.366143,1.644853627,839.8069493,1.880793608,865.2538418,2.053748911,883.8275854,2.326347874,912.9696559
23.6,23,4.2,4,1.168045081,0.661449712,0.171046184,-2.326347874,387.3331708,-2.053748911,420.8387666,-1.880793608,441.8644574,-1.281551566,513.4829589,-0.67448975,584.3582537,0,661.4497122,0.67448975,737.0561873,1.281551566,804.0018081,1.644853627,843.6172224,1.880793608,869.1773476,2.053748911,887.8340149,2.326347874,917.1066443
23.62857143,23,4.4,4,1.167483875,0.66442674,0.170997331,-2.326347874,389.1979869,-2.053748911,422.8339161,-1.880793608,443.9423639,-1.281551566,515.8476894,-0.67448975,587.0133196,0,664.4267404,0.67448975,740.3543365,1.281551566,807.5881816,1.644853627,847.3757138,1.880793608,873.0474673,2.053748911,891.785888,2.326347874,921.1872415
23.65714286,23,4.6,4,1.166925596,0.667366697,0.170948518,-2.326347874,391.0418253,-2.053748911,424.8061104,-1.880793608,445.9960755,-1.281551566,518.1840109,-0.67448975,589.6358196,0,667.3666965,0.67448975,743.6110096,1.281551566,811.1291916,1.644853627,851.0865467,1.880793608,876.8684495,2.053748911,895.687545,2.326347874,925.215932
23.68571429,23,4.8,4,1.166369983,0.670272684,0.170899738,-2.326347874,392.8665139,-2.053748911,426.757332,-1.880793608,448.0276721,-1.281551566,520.4943355,-0.67448975,592.2284963,0,670.2726841,0.67448975,746.8296651,1.281551566,814.6286118,1.644853627,854.7536813,1.880793608,880.6443753,2.053748911,899.5431553,2.326347874,929.1970237
23.71428571,23,5,5,1.165816788,0.673147677,0.170850981,-2.326347874,394.6738063,-2.053748911,428.6894824,-1.880793608,450.0391481,-1.281551566,522.780976,-0.67448975,594.7939786,0,673.1476774,0.67448975,750.0136175,1.281551566,818.0900587,1.644853627,858.3809134,1.880793608,884.3791559,2.053748911,903.3567146,2.326347874,933.1346448
23.74285714,23,5.2,5,1.165265773,0.675994519,0.17080224,-2.326347874,396.4653799,-2.053748911,430.6043803,-1.880793608,452.032411,-1.281551566,525.0461434,-0.67448975,597.3347795,0,675.9945194,0.67448975,753.1660343,1.281551566,821.5169882,1.644853627,861.9718699,1.880793608,888.0765289,2.053748911,907.1320411,2.326347874,937.0327405
23.77142857,23,5.4,5,1.164716706,0.678815952,0.170753507,-2.326347874,398.2428547,-2.053748911,432.5037814,-1.880793608,454.0093021,-1.281551566,527.2919712,-0.67448975,599.8533234,0,678.8159523,0.67448975,756.2899709,1.281551566,824.9127339,1.644853627,865.5300494,1.880793608,891.7400995,2.053748911,910.8728179,2.326347874,940.895116
23.8,23,5.6,5,1.164169371,0.681614588,0.170704776,-2.326347874,400.0077749,-2.053748911,434.3893591,-1.880793608,455.9715762,-1.281551566,529.5204923,-0.67448975,602.35192,0,681.6145881,0.67448975,759.3883371,1.281551566,828.2804704,1.644853627,869.0587835,1.880793608,895.3733006,2.053748911,914.5825522,2.326347874,944.725395
23.82857143,23,5.8,5,1.163623559,0.684392927,0.17065604,-2.326347874,401.7616199,-2.053748911,436.2627163,-1.880793608,457.9209135,-1.281551566,531.7336528,-0.67448975,604.8327798,0,684.3929268,0.67448975,762.4639179,1.281551566,831.6232361,1.644853627,872.5612608,1.880793608,898.9794182,2.053748911,918.2646008,2.326347874,948.5270457
23.85714286,23,6,6,1.163079071,0.687153358,0.170607292,-2.326347874,403.5058054,-2.053748911,438.1253863,-1.880793608,459.8589217,-1.281551566,533.9333138,-0.67448975,607.2980164,0,687.153358,0.67448975,765.5193753,1.281551566,834.9439346,1.644853627,876.0405287,1.880793608,902.5615923,2.053748911,921.9221715,2.326347874,952.3033825
23.88571429,23,6.2,6,1.162535717,0.689898174,0.170558528,-2.326347874,405.2416903,-2.053748911,439.9788409,-1.880793608,461.7871434,-1.281551566,536.1212608,-0.67448975,609.7496573,0,689.8981738,0.67448975,768.557262,1.281551566,838.2453511,1.644853627,879.4995099,1.880793608,906.1228347,2.053748911,925.5583411,2.326347874,956.0575844
23.91428571,23,6.4,6,1.161993317,0.692629552,0.170509741,-2.326347874,406.970567,-2.053748911,441.8244791,-1.880793608,463.707045,-1.281551566,538.2991905,-0.67448975,612.1896286,0,692.6295516,0.67448975,771.5800032,1.281551566,841.5301307,1.644853627,882.9409804,1.880793608,909.6660057,2.053748911,929.1760318,2.326347874,959.7926703
23.94285714,23,6.6,6,1.161451697,0.695349577,0.170460927,-2.326347874,408.6936747,-2.053748911,443.6636423,-1.880793608,465.620032,-1.281551566,540.4687287,-0.67448975,614.6197757,0,695.3495769,0.67448975,774.5899213,1.281551566,844.8008067,1.644853627,886.3675987,1.880793608,913.1938449,2.053748911,932.7780422,2.326347874,963.511532
23.97142857,23,6.8,6,1.160910695,0.698060238,0.17041208,-2.326347874,410.4121959,-2.053748911,445.4976102,-1.880793608,467.5274456,-1.281551566,542.6314261,-0.67448975,617.0418582,0,698.0602385,0.67448975,777.589231,1.281551566,848.0597948,1.644853627,889.7818996,1.880793608,916.7089642,2.053748911,936.3670405,2.326347874,967.2169262
24,24,0,0,1.160370155,0.700763419,0.170363196,-2.326347874,412.1272518,-2.053748911,447.3275959,-1.880793608,469.4305564,-1.281551566,544.7887517,-0.67448975,619.4575429,0,700.7634192,0.67448975,780.5800288,1.281551566,851.3093817,1.644853627,893.1862827,1.880793608,920.2138362,2.053748911,939.9455529,2.326347874,970.9114628
24.02857143,24,0.2,0,1.159829929,0.703460923,0.170314271,-2.326347874,413.8399177,-2.053748911,449.1547622,-1.880793608,471.3305829,-1.281551566,546.9421133,-0.67448975,621.8684266,0,703.4609233,0.67448975,783.5643234,1.281551566,854.5517581,1.644853627,896.5830471,1.880793608,923.7108298,2.053748911,943.5159992,2.326347874,974.5976421
24.05714286,24,0.4,0,1.159289877,0.706154462,0.170265301,-2.326347874,415.5512147,-2.053748911,450.9802137,-1.880793608,473.2286817,-1.281551566,549.0928471,-0.67448975,624.2760246,0,706.1544624,0.67448975,786.5440203,1.281551566,857.7890021,1.644853627,899.9743732,1.880793608,927.2021919,2.053748911,947.0806749,2.326347874,978.2778355
24.08571429,24,0.6,0,1.158749867,0.708845656,0.170216282,-2.326347874,417.2621105,-2.053748911,452.8049963,-1.880793608,475.1259483,-1.281551566,551.2422181,-0.67448975,626.6817713,0,708.8456564,0.67448975,789.5209227,1.281551566,861.0230802,1.644853627,903.3623248,1.880793608,930.6900488,2.053748911,950.6417521,2.326347874,981.9542874
24.11428571,24,0.8,0,1.158209774,0.711536051,0.170167211,-2.326347874,418.9735291,-2.053748911,454.6301087,-1.880793608,477.0234286,-1.281551566,553.3914338,-0.67448975,629.0870354,0,711.5360508,0.67448975,792.4967508,1.281551566,864.2558682,1.644853627,906.7488699,1.880793608,934.1764286,2.053748911,954.2013026,2.326347874,985.6291383
